county_name,candidate_id,election_day,absentee_by_mail,advance_in_person,provisional,total_votes,result_id
Richmond,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,12183,1556,10707,15,24461,Richmond86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Rockdale,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3724,615,9132,7,13478,Rockdale86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Schley,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,422,49,1001,0,1472,Schley86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Screven,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1473,88,1744,0,3305,Screven86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Seminole,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1267,114,962,2,2345,Seminole86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Spalding,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,5461,614,9562,9,15646,Spalding86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Stephens,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1470,465,5748,3,7686,Stephens86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Stewart,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,343,127,332,3,805,Stewart86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Sumter,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2348,265,2662,1,5276,Sumter86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Talbot,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,746,100,350,0,1196,Talbot86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Taliaferro,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,166,18,165,0,349,Taliaferro86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Tattnall,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1946,423,2724,3,5096,Tattnall86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Taylor,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,677,119,1268,0,2064,Taylor86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Telfair,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1303,109,1037,1,2450,Telfair86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Terrell,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,870,96,906,2,1874,Terrell86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
